"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_gene_id","hgnc_symbol"
"AHDC1",-1.57526266264633,5.51700548998133,-20.7070363499869,1.85758016019252e-75,1.67364518255362e-74,160.544356590906,"ENSG00000126705","AHDC1"
"IFI6",2.67389307717883,7.25814848303307,11.5429690844935,1.87480428372729e-28,5.35487328001557e-28,52.7504782829728,"ENSG00000126709","IFI6"
"DACH2",-3.46021929578322,-3.03275447839314,-17.4736577226056,1.75112596389023e-57,1.0713746120006e-56,119.982634760424,"ENSG00000126733","DACH2"
"TIMM17B",1.21560929080352,5.56410340686391,15.687477369358,4.41673526314036e-48,2.15138545643556e-47,97.8114045584629,"ENSG00000126768","TIMM17B"
"SIX1",5.53188086718773,1.31189294035209,9.5495460766044,1.86442017464692e-20,4.21039372169422e-20,35.5724923503486,"ENSG00000126778","SIX1"
"RHOJ",-2.23747409176014,3.37442272500167,-27.053282571395,1.53353435479926e-112,2.88870839641075e-111,245.965955336296,"ENSG00000126785","RHOJ"
"DLGAP5",7.71296589346972,3.36099983976014,13.9421638044809,2.16701519758785e-39,8.42792554994982e-39,78.6622060114238,"ENSG00000126787","DLGAP5"
"L3HYPDH",-1.78083253505599,2.93566051762368,-30.5087595390263,6.54592896391507e-133,1.80665567907548e-131,292.911917792806,"ENSG00000126790","L3HYPDH"
"TRMT5",1.00987439909711,5.31131871810017,17.824065395482,2.23013194530795e-59,1.42491544036654e-58,123.766023834607,"ENSG00000126814","TRMT5"
"PLEKHG3",-1.22059778627667,5.93650624198832,-18.9323293631259,1.82802269139367e-65,1.33590933423962e-64,137.567079502776,"ENSG00000126822","PLEKHG3"
"AVPR2",-3.13934070977617,-0.57173088772063,-19.8501277621884,1.34149108222663e-70,1.08582964952572e-69,149.956243667085,"ENSG00000126895","AVPR2"
"ARMCX1",-2.40697754071081,3.49829926329015,-20.677664760993,2.73155538574375e-75,2.45600621616125e-74,160.266143989072,"ENSG00000126947","ARMCX1"
"TMEM35A",-1.35380157069822,1.44525653643739,-8.28507421032928,5.54380821875952e-16,1.08811350016679e-15,24.8403071772786,"ENSG00000126950","TMEM35A"
"INTS11",-1.39625246217175,7.13366172238119,-30.9388801175783,1.96907433127272e-135,5.82145145091356e-134,298.550359262227,"ENSG00000127054","INTS11"
"RGS13",-3.39842031433553,-3.08546881341478,-18.6493485645523,6.74001213212513e-64,4.76747897893993e-63,134.667149209737,"ENSG00000127074","RGS13"
"OMD",-5.76402467792313,-1.3283400187607,-35.3756161115074,4.11394836779322e-161,2.05614903665951e-159,357.81876155653,"ENSG00000127083","OMD"
"EDN2",2.43845681761892,1.16307258959365,7.91062620845387,9.35652270001682e-15,1.76400589555116e-14,22.4841069158938,"ENSG00000127129","EDN2"
"COX7C",1.32078705712002,8.12041339310717,17.6747625029496,1.43744885010691e-58,9.0192159325233e-58,121.721165440804,"ENSG00000127184","COX7C"
"MASP1",-6.29756758857865,2.071817686835,-46.3094689193836,1.33547914604793e-220,3.02529386292391e-218,494.648724501884,"ENSG00000127241","MASP1"
"HRASLS",1.99588173788663,-0.551007359397749,6.25829533232707,6.59407630151041e-10,1.04697317428769e-09,11.6778906094096,"ENSG00000127252","HRASLS"
"TSPAN8",1.36991438923259,2.13212637931852,3.83713651142018,0.000135126159391501,0.000174515444859022,-0.459526306084034,"ENSG00000127324","TSPAN8"
"BEST3",2.13296536202888,-3.41922934265827,6.09272954641322,1.7861596231601e-09,2.79526128716863e-09,10.9268210472079,"ENSG00000127325","BEST3"
"RAB3IP",2.17097007078478,4.58418936981218,17.0034998603,5.77389759878868e-55,3.31732858417888e-54,113.947221077441,"ENSG00000127328","RAB3IP"
"PTPRB",-2.14944481549092,4.96481954571018,-21.3660343070539,3.13382120031365e-79,3.03853491923685e-78,169.232904974863,"ENSG00000127329","PTPRB"
"TAS2R4",-2.43642915925041,-1.2471130495725,-20.8839506558342,1.81539778031943e-76,1.6754488614874e-75,163.461473291893,"ENSG00000127364","TAS2R4"
"TAS2R5",-3.1914892796533,-1.43189676882582,-25.7960696448308,4.08566478882204e-105,6.61710779121846e-104,229.164922277435,"ENSG00000127366","TAS2R5"
"CRYGN",-1.2036724414281,-1.51508984541848,-7.1967916804363,1.51842423737178e-12,2.65895733083786e-12,17.479879015197,"ENSG00000127377","CRYGN"
"LRRC61",1.47596820587793,4.89086485368263,9.87613052555731,1.08734929690749e-21,2.54040098927904e-21,37.563104037223,"ENSG00000127399","LRRC61"
"FGFRL1",1.41553991030716,5.98917381044607,9.39275152674147,7.1101695847586e-20,1.57890118481151e-19,33.1807249056011,"ENSG00000127418","FGFRL1"
"PLA2G5",-3.66163688636445,-2.57823201437779,-20.2246054121811,1.02661616277994e-72,8.74805360399146e-72,154.862821220242,"ENSG00000127472","PLA2G5"
"HP1BP3",-1.27435908744397,7.43356587737761,-22.0897474560489,2.09726292244415e-83,2.22116315459583e-82,178.840105691321,"ENSG00000127483","HP1BP3"
"SIN3B",-1.92606387877322,5.97771845036686,-31.2905846011791,1.72061328516642e-137,5.33084503253248e-136,303.279605054257,"ENSG00000127511","SIN3B"
"KLF2",-3.39720483131898,3.63324616432565,-34.0307377017213,2.11204825561036e-153,8.94185867053679e-152,339.959897047301,"ENSG00000127528","KLF2"
"UQCR11",1.05505032074542,6.11371733708685,14.8912984895748,4.75539341616796e-44,2.10155377142685e-43,88.4531034345535,"ENSG00000127540","UQCR11"
"SYNGR3",2.8568715634903,0.486399499723532,11.2122951897735,4.71742883255738e-27,1.29768350617093e-26,50.5007792172833,"ENSG00000127561","SYNGR3"
"PKMYT1",4.28586355186025,5.08758949191089,17.8490623427384,1.6314676850393e-59,1.04431892954644e-58,124.530384748313,"ENSG00000127564","PKMYT1"
"WFIKKN1",-1.55501230519955,0.668951371781688,-14.6513103220438,7.42956518714282e-43,3.17554289535242e-42,86.3251253475356,"ENSG00000127578","WFIKKN1"
"FBXL16",1.82416146874876,1.58573046471025,7.32214371604201,6.39406830708771e-13,1.13449021951511e-12,18.2392763846669,"ENSG00000127585","FBXL16"
"MACF1",-2.04358892997239,7.62539496321396,-25.8017135574693,3.78402546212381e-105,6.14569423983479e-104,228.878802027306,"ENSG00000127603","MACF1"
"SMARCA4",1.65601315458766,7.67738235622675,22.1506338054474,9.31393202040459e-84,9.93049610219543e-83,179.630243525682,"ENSG00000127616","SMARCA4"
"IL17B",-2.2406019807756,-1.46244041508899,-12.0595924608603,1.07072113756582e-30,3.24358958015987e-30,58.6777247744811,"ENSG00000127743","IL17B"
"TUBA4A",1.47725100438888,5.35826516103041,7.84176686681666,1.55521206238427e-14,2.9088102084676e-14,21.1719446582346,"ENSG00000127824","TUBA4A"
"PNKD",1.78749881317116,6.23201201915234,20.6696346968231,3.03516762779736e-75,2.72477760842354e-74,160.184259463759,"ENSG00000127838","PNKD"
"TNFRSF19",1.8131408769534,4.6731844003729,6.57773210431365,9.04302509642334e-11,1.48165965392553e-10,12.8779815122037,"ENSG00000127863","TNFRSF19"
"ECHS1",1.616273969195,7.41114194500959,23.9916918375423,1.70762639216999e-94,2.22450538899337e-93,204.333662302672,"ENSG00000127884","ECHS1"
"ZNF835",-3.24569301583467,-0.866914187687321,-23.6530756984451,1.64730894315917e-92,2.08368454644854e-91,200.249846246631,"ENSG00000127903","ZNF835"
"GNG11",-1.68717828024089,4.72272616528983,-14.7148745841842,3.5957290445666e-43,1.5494145682899e-42,86.3972477943784,"ENSG00000127920","GNG11"
"SEM1",1.87212531507777,7.79058510644576,19.5794186346249,4.46683895730242e-69,3.50022784960585e-68,145.875837133532,"ENSG00000127922","SEM1"
"GNGT1",4.50176779019798,0.772045587160749,16.0835172743912,3.98827866968922e-50,2.04972141530316e-49,103.15709013522,"ENSG00000127928","GNGT1"
"POR",1.01648695793538,7.14646111640577,15.6402203630231,7.71571191313557e-48,3.73432749447347e-47,97.0813937919806,"ENSG00000127948","POR"
"STYXL1",1.9596379479316,4.97901206775593,20.3658705586197,1.62252602810988e-73,1.4059474172042e-72,156.455665193883,"ENSG00000127952","STYXL1"
"STEAP4",-4.30058260710492,2.66913186611715,-40.5309306751312,6.39867489818761e-190,6.13253221148826e-188,424.044623434384,"ENSG00000127954","STEAP4"
"SGCE",-1.98437023837769,4.09357533746404,-16.9801017638118,7.69177393961273e-55,4.40760883142789e-54,113.227929968276,"ENSG00000127990","SGCE"
"ZNF780B",-1.07802920611001,4.11480824914986,-16.7496875785726,1.28416050249359e-53,7.15413977802482e-53,110.474609976033,"ENSG00000128000","ZNF780B"
"ZFP36",-1.5271623774442,6.47019191743981,-9.63068015971017,9.26530305256093e-21,2.10985223427964e-20,35.0695375054489,"ENSG00000128016","ZFP36"
"SRD5A3",2.38660651862073,5.23485043778413,11.6950190630884,4.16455563973691e-29,1.21374008394204e-28,54.5987334196507,"ENSG00000128039","SRD5A3"
"PAICS",1.74949090804391,7.14662743013524,25.2208965369561,1.00830529153967e-101,1.52407878685671e-100,220.982742655053,"ENSG00000128050","PAICS"
"KDR",-3.15452748966914,4.49226662085502,-32.7372656980977,6.37968996182792e-146,2.42442117656132e-144,322.711385490988,"ENSG00000128052","KDR"
"PPAT",1.01081764430258,4.16758327125741,10.5176381938165,3.33362633637291e-24,8.43342192680968e-24,43.3763411559778,"ENSG00000128059","PPAT"
"TUBGCP6",-1.78514724294798,5.54628086842883,-25.3046044686952,3.23733934612155e-102,4.95341317670159e-101,222.095950570347,"ENSG00000128159","TUBGCP6"
"ADM2",5.19773972149339,2.24444235155935,14.5998836986065,1.334801672556e-42,5.66219493540717e-42,85.975740794321,"ENSG00000128165","ADM2"
"VPREB3",3.97762314765882,-1.74173049997621,14.6856807841553,5.01917721964628e-43,2.15586082842379e-42,86.9147323050802,"ENSG00000128218","VPREB3"
"SDF2L1",1.68569283882184,5.34839164285641,12.7420540734064,9.30059412780016e-34,3.07428962234638e-33,65.0924659915957,"ENSG00000128228","SDF2L1"
"POM121L9P",-3.04088802077885,-0.169462947364878,-45.7637556244439,8.83567642983371e-218,1.81318475253635e-215,487.774866602189,"ENSG00000128262","POM121L9P"
"GNAZ",-1.74887345116632,2.64972850114491,-17.7012923242601,1.03273974977719e-58,6.52211421265879e-58,122.359496433715,"ENSG00000128266","GNAZ"
"ADORA2A",-1.02092266925984,2.21722229919205,-12.4176900577592,2.73485027188333e-32,8.66714994412444e-32,61.948298443409,"ENSG00000128271","ADORA2A"
"CDC42EP1",-1.14626205267872,6.10991305727563,-11.3654861880708,1.06723273915339e-27,2.98664217376103e-27,50.9106826851302,"ENSG00000128283","CDC42EP1"
"APOL3",-2.39286188874284,3.80040246249524,-22.4821656253149,1.11261739717289e-85,1.23535233984002e-84,184.128659788091,"ENSG00000128284","APOL3"
"MCHR1",-4.14000746272397,-2.03622980907177,-25.591425797295,6.58801895503412e-104,1.03901279053038e-102,226.397375185937,"ENSG00000128285","MCHR1"
"TST",1.76677951030929,5.25645722504143,12.674416353387,1.89099142809232e-33,6.19544768599067e-33,64.4215969319951,"ENSG00000128311","TST"
"RAC2",1.39944970636763,3.82781384791701,8.37473364770928,2.77438270384485e-16,5.49926789808702e-16,25.4670962242103,"ENSG00000128340","RAC2"
"LIF",1.30219297053081,3.03433029341696,5.28018998027409,1.69895698820614e-07,2.47060498084866e-07,5.77958205609787,"ENSG00000128342","LIF"
"C22orf23",-1.36582044037729,2.74060300794687,-16.7001394078784,2.3472762752335e-53,1.29938242046645e-52,110.093184446304,"ENSG00000128346","C22orf23"
"APOBEC3A",2.69045121643722,1.54202145272455,12.436130950911,2.25994337395629e-32,7.18821886796492e-32,62.5635593452806,"ENSG00000128383","APOBEC3A"
"RIBC2",4.45555087275118,1.45702262700114,15.0594459976663,6.83371332117421e-45,3.07455407431627e-44,91.209904025446,"ENSG00000128408","RIBC2"
"KRT17",4.83716904411791,4.36444713209976,7.54795724899771,1.30491750956069e-13,2.36854069919533e-13,19.7587734923591,"ENSG00000128422","KRT17"
"RNF112",-4.19492663008849,-0.835767632488569,-39.1186932853657,3.71949262241158e-182,2.93570632636765e-180,406.083155498898,"ENSG00000128482","RNF112"
"CPA4",1.36849478827127,-0.721860542605819,4.50915702318737,7.56779293442541e-06,1.03024281710124e-05,2.62188138346849,"ENSG00000128510","CPA4"
"DOCK4",-2.16387815470519,3.3389650320112,-31.0204608315372,6.55354903002165e-136,1.94410809065761e-134,299.74605668886,"ENSG00000128512","DOCK4"
"ATP6V1F",1.48851832379243,6.31308214613389,24.4023419499474,6.62794687851684e-97,9.03919291649486e-96,209.952133056724,"ENSG00000128524","ATP6V1F"
"VGF",2.01762328910315,-0.85754520718713,5.69374496597162,1.79377494118563e-08,2.70758188811881e-08,8.49742370336014,"ENSG00000128564","VGF"
"FOXP2",-5.0323021210394,1.11185644637401,-40.3820790939355,4.16578422335326e-189,3.88576332662839e-187,422.205116227899,"ENSG00000128573","FOXP2"
"IFT22",1.44068903197152,5.24627241779351,16.3696116172041,1.28529926554763e-51,6.81650200332847e-51,106.027442476942,"ENSG00000128581","IFT22"
"FLNC",-5.05612105850079,4.3139340352249,-27.3178969674311,4.18937093579888e-114,8.17395942205144e-113,249.522299681195,"ENSG00000128591","FLNC"
"CCDC136",-3.83111849332134,0.493654332111633,-37.9303224882327,1.51617546974546e-175,1.0094140732355e-173,391.015368227445,"ENSG00000128596","CCDC136"
"IRF5",1.14149741461735,2.67708061722993,7.92248311667622,8.56954559393908e-15,1.61773359085584e-14,22.252871525418,"ENSG00000128604","IRF5"
"OPN1SW",-1.29256977209148,-0.233415672419788,-12.7572417499569,7.9281013848623e-34,2.62509249157466e-33,65.7806556246032,"ENSG00000128617","OPN1SW"
"MRPS12",1.66366627835457,4.91104894109714,17.1857001519571,6.15230431349474e-56,3.62549473446921e-55,116.04894906613,"ENSG00000128626","MRPS12"
"HOXD3",-3.58537849029213,1.4405581977898,-35.1061626755072,1.42315236713318e-159,6.87646724097067e-158,354.280279611729,"ENSG00000128652","HOXD3"
"MTX2",1.02834563586519,5.25050639796874,17.4652069635802,1.94460285749725e-57,1.18891369237029e-56,119.322996850165,"ENSG00000128654","MTX2"
"GAD1",2.24481970089365,2.39055687590815,5.40572960876925,8.71986638281077e-08,1.28235923881096e-07,6.63899283714747,"ENSG00000128683","GAD1"
"HOXD9",-3.28436615618581,3.98858998702816,-35.1793474089434,5.4319643912331e-160,2.64664119766142e-158,355.113471083101,"ENSG00000128709","HOXD9"
"HOXD10",-3.58093499868617,3.29078121626761,-35.1066728983392,1.41362562201788e-159,6.84940881246052e-158,354.18625950164,"ENSG00000128710","HOXD10"
"HOXD11",-4.25801377845892,1.22711486158066,-32.1295600907054,2.18114871492736e-142,7.4599562812702e-141,314.741674496371,"ENSG00000128713","HOXD11"
"CGNL1",-1.66462286669212,4.88562267111672,-14.0747386673642,4.95947869620875e-40,1.95719879859659e-39,79.1867422594278,"ENSG00000128849","CGNL1"
"TMOD2",-3.56040905116912,2.5212921095376,-49.1531765121345,4.89289118622296e-235,1.6293286460457e-232,527.859412932722,"ENSG00000128872","TMOD2"
"TTBK2",-1.76354917773007,4.09316181603181,-38.9942603368787,1.81719544715868e-181,1.42140538945242e-179,404.553634406978,"ENSG00000128881","TTBK2"
"DLL4",-1.53127954285399,3.38759147506651,-19.4894344457759,1.42764466181936e-68,1.10874469439515e-67,144.902528393228,"ENSG00000128917","DLL4"
"ALDH1A2",-3.54117158942504,3.80590130077252,-22.9495224583922,2.12360095284712e-88,2.49273024364148e-87,190.376682776513,"ENSG00000128918","ALDH1A2"
"MINDY2",-1.12770260419766,5.04366263202622,-17.0777589012735,2.32097685470379e-55,1.3453196395041e-54,114.376420882195,"ENSG00000128923","MINDY2"
"KNSTRN",1.76755784116854,4.29568009733375,13.3113362993111,2.1607700459113e-36,7.71867948204605e-36,71.3537547951011,"ENSG00000128944","KNSTRN"
"CHAC1",3.24213764510566,2.45554113767097,15.1837690717989,1.61639288112592e-45,7.37889061122204e-45,92.584555332464,"ENSG00000128965","CHAC1"
"CLN6",1.52158061412863,5.91755950591612,13.8909865592321,3.82079722215509e-39,1.47610555805208e-38,77.2925703201569,"ENSG00000128973","CLN6"
"ISLR",-1.93344395805009,6.30450410969685,-11.3194967384316,1.66979535015287e-27,4.6520109076372e-27,50.481653529928,"ENSG00000129009","ISLR"
"ACKR4",-2.67872828376936,0.868099785846622,-29.590870673704,1.62468202234605e-127,4.0484755022546e-126,280.621612823661,"ENSG00000129048","ACKR4"
"PALLD",-2.76642384177195,7.57482264985039,-20.4547383431446,5.07421867330283e-74,4.44102339781341e-73,157.296532564439,"ENSG00000129116","PALLD"
"BBOX1",4.55313996354203,-0.34731406394151,10.6514779857959,9.63945035078032e-25,2.47776204639937e-24,45.3397526512961,"ENSG00000129151","BBOX1"
"MYOD1",1.68821656583934,-4.13202387360053,4.88578181640931,1.26396237205983e-06,1.77343111774772e-06,4.62657473990388,"ENSG00000129152","MYOD1"
"TPH1",-1.02021424369588,0.892678907945238,-4.34504432534242,1.58743680326894e-05,2.132270149347e-05,1.48258423708096,"ENSG00000129167","TPH1"
"CSRP3",-1.60217316130306,-3.85079402003414,-6.68417474589529,4.578407398463e-11,7.59064349884898e-11,14.3241872110485,"ENSG00000129170","CSRP3"
"E2F8",6.09831879227121,1.87955178162576,17.6180207370425,2.91364740063296e-58,1.81121709227515e-57,121.724399487497,"ENSG00000129173","E2F8"
"SOX15",-3.15956668500752,0.471649649800512,-34.050159255716,1.63249509641918e-153,6.94527121142435e-152,340.36489156824,"ENSG00000129194","SOX15"
"PIMREG",3.99779883421447,2.58046716951235,16.5173753988269,2.15661447417478e-52,1.16753030021821e-51,108.333693913956,"ENSG00000129195","PIMREG"
"CD68",1.20737617808807,5.34775769885751,8.46491380539584,1.37458062992635e-16,2.75437219159165e-16,25.7885069850228,"ENSG00000129226","CD68"
"TXNDC17",2.06188681190772,5.70423692614637,18.3281033980899,3.9535793824815e-62,2.68544724176888e-61,130.181250281869,"ENSG00000129235","TXNDC17"
"ATP1B2",-2.81696701629921,2.10372587102716,-23.9748640727822,2.14334184068841e-94,2.7900232632185e-93,204.347186077672,"ENSG00000129244","ATP1B2"
"MPDU1",1.40869259534651,5.62985432488358,19.0987438221727,2.17215602714814e-66,1.61780177547161e-65,139.878254837617,"ENSG00000129255","MPDU1"
"AP1M2",8.01229714585038,5.57966817358203,13.1446972176119,1.29686868213328e-35,4.52697226785088e-35,69.986077854884,"ENSG00000129354","AP1M2"
"KLK10",3.74253769727995,3.2697837630455,6.80019216791685,2.15755476752725e-11,3.62146149056753e-11,14.7724261405974,"ENSG00000129451","KLK10"
"KLK8",4.25760913154895,0.240639663458379,7.62613626857214,7.45765967049996e-14,1.36199306494117e-13,20.63263973256,"ENSG00000129455","KLK8"
"ADCY4",-4.09902554880836,3.31699181655272,-52.0295056127813,3.41233109261433e-249,1.75062621319035e-246,560.430991484401,"ENSG00000129467","ADCY4"
"BCL2L2",-1.99201726001633,4.97792355879355,-29.7456689071425,1.99438669640243e-128,5.01992599499966e-127,282.422975028383,"ENSG00000129473","BCL2L2"
"FOXA1",5.57770864327664,1.26236579625652,8.5217737004796,8.80091650344909e-17,1.77432254472564e-16,27.252050423894,"ENSG00000129514","FOXA1"
"EGLN3",2.40649259414467,5.55198100541742,10.3132688633367,2.16879450659971e-23,5.34175128192864e-23,41.4718887116815,"ENSG00000129521","EGLN3"
"TEP1",-1.13518359086113,4.93027301862969,-19.3522164985135,8.36956243996599e-68,6.40308235264591e-67,142.974623171394,"ENSG00000129566","TEP1"
"CDO1",-3.53090159109962,-0.228459648801708,-20.1147175712447,4.30102721397902e-72,3.61381588118671e-71,153.3343705298,"ENSG00000129596","CDO1"
"FOXJ1",9.22926471208636,4.83693264826446,9.4054839235097,6.38185682176354e-20,1.41897678192507e-19,34.3372003368534,"ENSG00000129654","FOXJ1"
"ARHGEF6",-2.2153375221221,3.5656237676966,-31.179160379187,7.71827762680711e-137,2.3495622451029e-135,301.860712755013,"ENSG00000129675","ARHGEF6"
"MAP7D3",-2.13886186028709,3.27535218650313,-26.5543064269207,1.3609164359929e-109,2.38577541638434e-108,239.199923282566,"ENSG00000129680","MAP7D3"
"FGF13",-1.85665237226483,2.05991142432646,-13.4520835852434,4.70606458362134e-37,1.71301929324097e-36,72.7703584426136,"ENSG00000129682","FGF13"
"CDKN1C",-1.66971620851349,5.28623915679997,-12.5636142824864,6.01586868648628e-33,1.94467749255708e-32,62.9359644808406,"ENSG00000129757","CDKN1C"
"SGO1",5.95805026790824,2.81895880916756,16.1202458735624,2.5701705167944e-50,1.32363402197947e-49,103.601240608928,"ENSG00000129810","SGO1"
"TMEM8A",1.64371767670982,6.59893808367096,18.0641342529041,1.10035998098471e-60,7.21834492227013e-60,126.655311378177,"ENSG00000129925","TMEM8A"
"MAU2",-1.20884791818713,5.65892735676203,-20.8957607161207,1.55407518170916e-76,1.43731354159877e-75,163.019110476202,"ENSG00000129933","MAU2"
"SHC2",-2.69912564141385,3.78393171776598,-21.9628553970498,1.13685251818164e-82,1.17966201514827e-81,177.20338548517,"ENSG00000129946","SHC2"
"PLPPR3",2.48664511683639,-0.715886181517603,5.82329077096062,8.6075019668077e-09,1.31552314734975e-08,9.22788351019316,"ENSG00000129951","PLPPR3"
"ABHD17A",-1.2107790547524,5.42978414689631,-21.4919920689378,5.91208014983952e-80,5.80982614386765e-79,170.887288234166,"ENSG00000129968","ABHD17A"
"SYT5",2.96502540749884,-0.0506738282822293,8.54608452499343,7.26808919113923e-17,1.4690298929437e-16,27.3896648867518,"ENSG00000129990","SYT5"
"TNNI3",3.2480478961837,1.0397741924116,8.3614412456904,3.07539880920885e-16,6.08762839639469e-16,25.9065724378604,"ENSG00000129991","TNNI3"
"CBFA2T3",-3.09429723934932,1.40533143734169,-31.5177903141583,8.08254203845466e-139,2.58212052704697e-137,306.565923948239,"ENSG00000129993","CBFA2T3"
"PUDP",1.30608681495521,4.24244147217002,12.3419527905861,5.97467050674598e-32,1.87743069085156e-31,61.122098436963,"ENSG00000130021","PUDP"
"PRRG3",-3.15862401300963,-0.465103353566391,-19.3057374751505,1.52221539944996e-67,1.1594761228212e-66,142.937614065365,"ENSG00000130032","PRRG3"
"GALNT8",-1.12990048158261,-0.913432911992832,-5.34947266894548,1.17773213282803e-07,1.72342127457377e-07,6.44383420775425,"ENSG00000130035","GALNT8"
"KCNA5",-2.80117185288764,-1.22932557542815,-17.4980012858391,1.29467042522894e-57,7.93497407844988e-57,120.234216868119,"ENSG00000130037","KCNA5"
"STARD8",-3.06846485546606,2.17243521596261,-41.5264138976946,2.47910341817504e-195,2.77198723866841e-193,436.522066278845,"ENSG00000130052","STARD8"
"FAM155B",3.22496097143371,1.38944146273519,13.533310585223,1.94424389207708e-37,7.15021003784536e-37,74.1610026312037,"ENSG00000130054","FAM155B"
"SAT1",1.61107023736376,8.96405207606802,11.4824714999393,3.3986767456267e-28,9.64109911757464e-28,52.0584061895724,"ENSG00000130066","SAT1"
"SH3BP4",1.1070130134099,6.16068602420525,11.4349414927263,5.41546563109911e-28,1.52851079293304e-27,51.658204845885,"ENSG00000130147","SH3BP4"
"DOCK6",-1.08935046678983,5.26649773002209,-16.0691955486407,4.73301879612126e-50,2.42603722776206e-49,102.172625264549,"ENSG00000130158","DOCK6"
"ANGPTL8",-2.15309776057601,-0.117451332677271,-21.8493327498179,5.14846005149379e-82,5.27331700987705e-81,176.165562156946,"ENSG00000130173","ANGPTL8"
"PRKCSH",1.03578499099488,8.60267516465033,19.0349977541823,4.91557966301176e-66,3.63777921348808e-65,138.889073537621,"ENSG00000130175","PRKCSH"
"CNN1",-6.55020228928977,4.26696732473891,-34.9593179407086,9.84508164969423e-159,4.67923049633832e-157,352.256337078197,"ENSG00000130176","CNN1"
"THEM6",1.80885115388801,5.3184626174424,14.2768217370935,5.16007486572151e-41,2.09513933619135e-40,81.7489976429624,"ENSG00000130193","THEM6"
"NECTIN2",1.36637954824236,7.28424233352091,20.5144985191335,2.32038025190853e-74,2.04209852341274e-73,158.024914670775,"ENSG00000130202","NECTIN2"
"APOE",2.55487565132359,7.00498069792783,12.9683853873411,8.50814633478691e-35,2.90198663507407e-34,67.2965688288046,"ENSG00000130203","APOE"
"TOMM40",1.30666939010676,5.66745525206513,16.7235094159993,1.76627182818015e-53,9.79620969759822e-53,110.199267382755,"ENSG00000130204","TOMM40"
"APOC1",3.79362802166101,3.72575730795149,11.0338568137391,2.61724475858512e-26,7.04298061153968e-26,48.6064985369212,"ENSG00000130208","APOC1"
"GADD45G",-1.67560112288108,3.69250933066055,-15.2594145274199,6.70325870563513e-46,3.09243431902654e-45,92.768973166978,"ENSG00000130222","GADD45G"
"LRCH2",-3.35876731192542,1.82434275343636,-27.8055789417028,5.50767581834564e-117,1.14505827532066e-115,256.297646634804,"ENSG00000130224","LRCH2"
"DPP6",-5.90344002730129,1.71323778538621,-35.4057238921099,2.77003260623301e-161,1.39646470377232e-159,358.179326792158,"ENSG00000130226","DPP6"
"SAFB2",-1.1668984465529,6.31158994461355,-23.6334934991777,2.14496207570374e-92,2.70727738686688e-91,199.496045347884,"ENSG00000130254","SAFB2"
"ATP8B3",-1.15235329695044,0.71800422934511,-7.487437808539,2.00566907386443e-13,3.61488795778231e-13,19.1868229297949,"ENSG00000130270","ATP8B3"
"GDF1",1.14493291409475,1.01209191695859,4.37384207397393,1.39633100000446e-05,1.87875668258854e-05,1.82914972380727,"ENSG00000130283","GDF1"
"KIF1A",4.86551687915273,3.90570515772904,6.02704863540257,2.63539863152106e-09,4.09963955494709e-09,10.1181222491296,"ENSG00000130294","KIF1A"
"PLVAP",-1.0382542464868,5.8644054095616,-9.10139338740275,8.17469586914446e-19,1.75561708994689e-18,30.6236274452228,"ENSG00000130300","PLVAP"
"BST2",1.61914757145849,6.84621004330091,7.47918964859696,2.1262051750148e-13,3.82778376176934e-13,18.3658155464661,"ENSG00000130303","BST2"
"USHBP1",-2.59366788841099,1.93093485500357,-30.1317175314321,1.07136952707081e-130,2.84442901989286e-129,287.869555078373,"ENSG00000130307","USHBP1"
"PGLS",1.21403591097989,6.29061844048099,17.963393467451,3.89701027621944e-60,2.53545506333814e-59,125.385996511502,"ENSG00000130313","PGLS"
"LSM7",1.30021361089066,5.94296238814334,16.6198888180412,6.22427791121805e-53,3.4046568968453e-52,108.896255296727,"ENSG00000130332","LSM7"
"RTN4IP1",1.49591796868795,3.09987602782662,14.7014865631372,4.1901646374775e-43,1.8037769440158e-42,86.8790323889378,"ENSG00000130347","RTN4IP1"
"FUT5",4.77880895040359,-1.33199388152694,12.8802556441749,2.16586177242504e-34,7.29890395989374e-34,67.2730263294201,"ENSG00000130383","FUT5"
"ARPC1B",1.26077909789274,7.01020269117771,16.1780257840729,1.2863263047551e-50,6.67779456364381e-50,103.471354769815,"ENSG00000130429","ARPC1B"
"CACNG6",3.09570103591026,-1.57334706190428,6.71391953218204,3.779145933304e-11,6.28944208707391e-11,14.6058757906042,"ENSG00000130433","CACNG6"
"FCHO1",1.80747773245342,2.28556107779982,7.98869259461642,5.23643079421217e-15,9.96824864601582e-15,22.868698079811,"ENSG00000130475","FCHO1"
"KLHDC7B",3.38457664897045,0.950815172871907,12.2844715903875,1.07893119906713e-31,3.36608780277732e-31,61.0756480253871,"ENSG00000130487","KLHDC7B"
"SCO2",1.30345708633386,5.03809518050655,14.1766407227892,1.58798371266561e-40,6.35011460339896e-40,80.5987248385346,"ENSG00000130489","SCO2"
"PXDN",-1.37878691544701,5.98295717195737,-7.7433713544194,3.19435815345854e-14,5.91624434813945e-14,20.184845179502,"ENSG00000130508","PXDN"
"GDF15",3.64479913671065,4.68841568275587,9.03442655950727,1.42097038407414e-18,3.03118336913357e-18,30.8413954680788,"ENSG00000130513","GDF15"
